Total runs: 19
Total episodes: 265
Overall mean reward: -31.20
Overall win rate: 2.64%

Per-run summary:
 run  episodes  mean_reward  median_reward  std_reward  max_reward  min_reward  win_count  win_rate_pct  mean_steps  reward_slope_per_episode
   3       197   -94.832487        -100.00   60.492767       748.0      -102.0          0      0.000000   10.248731             -1.236246e-01
   4        12   -41.500000         -38.00   24.773520        -2.0       -79.0          0      0.000000  111.166667             -3.986014e+00
   5         2    52.000000          52.00    9.899495        59.0        45.0          0      0.000000  418.000000              1.400000e+01
   7         1   370.000000         370.00         NaN       370.0       370.0          0      0.000000  805.000000              0.000000e+00
   8         2  -100.000000        -100.00    0.000000      -100.0      -100.0          0      0.000000    1.000000             -7.348301e-15
  11         3   113.000000        -100.00  368.926822       539.0      -100.0          0      0.000000  520.000000             -3.195000e+02
  12         1   641.000000         641.00         NaN       641.0       641.0          0      0.000000 1290.000000              0.000000e+00
  14         2   325.000000         325.00  586.898628       740.0       -90.0          1     50.000000  281.000000             -8.300000e+02
  15         3   138.333333        -100.00  412.805442       615.0      -100.0          0      0.000000  589.333333             -3.575000e+02
  16         2   373.000000         373.00  668.923015       846.0      -100.0          0      0.000000  831.000000             -9.460000e+02
  17         1   866.000000         866.00         NaN       866.0       866.0          1    100.000000  649.000000              0.000000e+00
  18         3   312.000000         -89.00  704.100135      1125.0      -100.0          0      0.000000  593.666667             -6.125000e+02
  19         1   125.000000         125.00         NaN       125.0       125.0          0      0.000000  652.000000              0.000000e+00
  20         1   190.000000         190.00         NaN       190.0       190.0          0      0.000000  663.000000              0.000000e+00
  21         1   280.000000         280.00         NaN       280.0       280.0          0      0.000000  755.000000              0.000000e+00
  23         4   304.125000         331.55  232.250416       501.7        51.7          2     50.000000  293.250000              5.679000e+01
  25         7   268.700000         171.90  236.725354       502.0      -100.0          3     42.857143  291.142857             -3.571429e+00
  27         5   111.520000         108.00   66.943947       221.2        43.0          0      0.000000  571.800000             -3.380000e+00
  28        17   105.605882          88.00  101.036945       372.6       -12.3          0      0.000000  441.470588              3.015686e+00
