run,episodes,mean_reward,median_reward,std_reward,max_reward,min_reward,win_count,win_rate_pct,mean_steps,reward_slope_per_episode
3,197,-94.83248730964468,-100.0,60.492766985460655,748.0,-102.0,0,0.0,10.248730964467006,-0.12362462289945983
4,12,-41.5,-38.0,24.773519586995967,-2.0,-79.0,0,0.0,111.16666666666667,-3.986013986013984
5,2,52.0,52.0,9.899494936611665,59.0,45.0,0,0.0,418.0,13.999999999999996
7,1,370.0,370.0,,370.0,370.0,0,0.0,805.0,0.0
8,2,-100.0,-100.0,0.0,-100.0,-100.0,0,0.0,1.0,-7.348301093611927e-15
11,3,113.0,-100.0,368.9268220121709,539.0,-100.0,0,0.0,520.0,-319.5000000000001
12,1,641.0,641.0,,641.0,641.0,0,0.0,1290.0,0.0
14,2,325.0,325.0,586.8986283848344,740.0,-90.0,1,50.0,281.0,-829.9999999999992
15,3,138.33333333333334,-100.0,412.8054424705824,615.0,-100.0,0,0.0,589.3333333333334,-357.50000000000017
16,2,373.0,373.0,668.9230150024739,846.0,-100.0,0,0.0,831.0,-945.999999999999
17,1,866.0,866.0,,866.0,866.0,1,100.0,649.0,0.0
18,3,312.0,-89.0,704.1001349240036,1125.0,-100.0,0,0.0,593.6666666666666,-612.5000000000003
19,1,125.0,125.0,,125.0,125.0,0,0.0,652.0,0.0
20,1,190.0,190.0,,190.0,190.0,0,0.0,663.0,0.0
21,1,280.0,280.0,,280.0,280.0,0,0.0,755.0,0.0
23,4,304.125,331.55,232.25041621778277,501.7,51.7,2,50.0,293.25,56.789999999999985
25,7,268.7,171.9,236.725354225806,502.0,-100.0,3,42.857142857142854,291.14285714285717,-3.5714285714285516
27,5,111.52000000000001,108.0,66.94394670169962,221.2,43.0,0,0.0,571.8,-3.3800000000000034
28,17,105.60588235294118,88.0,101.03694541223668,372.6,-12.3,0,0.0,441.47058823529414,3.015686274509807
